Country,City-UTF8,City-ASCII,Population,Latitude,Longitude
HR,Split,Split,176314,43.50891,16.43915
FI,Turku,Turku,175945,60.45148,22.26869
TR,Siverek,Siverek,175341,37.75503,39.31667
UA,Kramators’k,Kramators'k,173700,48.72305,37.55629
HU,Miskolc,Miskolc,172637,48.1,20.78333
TR,Isparta,Isparta,172334,37.76444,30.55222
PL,Olsztyn,Olsztyn,171803,53.77995,20.49416
XK,Prizren,Prizren,171464,42.21389,20.73972
RO,Bacău,Bacau,171396,46.56718,26.91384
ES,Albacete,Albacete,169716,38.99424,-1.85643
BY,Baranovichi,Baranovichi,168772,53.1327,26.0139
FR,Angers,Angers,168279,47.47381,-0.54774
GR,Pátra,Patra,168034,38.24444,21.73444
RU,Berezniki,Berezniki,167748,59.4091,56.8204
RU,Volgodonsk,Volgodonsk,167731,47.51361,42.15139
RO,Piteşti,Pitesti,167669,44.85,24.86667
HU,Szeged,Szeged,164883,46.253,20.14824
CH,Basel,Basel,164488,47.55839,7.57327
BA,Zenica,Zenica,164423,44.20169,17.90397
CZ,Pilsen,Pilsen,164180,49.74747,13.37759
GB,Peterborough,Peterborough,163379,52.57364,-0.24777
TR,Aydın,Aydin,163022,37.84501,27.83963
NL,Nijmegen,Nijmegen,158732,51.8425,5.85278
FR,Grenoble,Grenoble,158552,45.17155,5.72239
PL,Rzeszów,Rzeszow,158382,50.04132,21.99901
UA,Melitopol,Melitopol,158000,46.84891,35.36533
MD,Tiraspol,Tiraspol,157000,46.84274,29.62909
HU,Pécs,Pecs,156649,46.08333,18.23333
BG,Ruse,Ruse,156238,43.85639,25.97083
ES,Salamanca,Salamanca,155619,40.96882,-5.66388
RU,Kovrov,Kovrov,154224,56.35722,41.31917
TR,Viranşehir,Viransehir,154163,37.22349,39.75519
IT,Livorno,Livorno,153773,43.54427,10.32615
GB,York,York,153717,53.95763,-1.08271
NL,Enschede,Enschede,153655,52.21833,6.89583
AT,Salzburg,Salzburg,153377,47.79941,13.04399
TR,Uşak,Usak,152862,38.67351,29.4058
TR,Aksaray,Aksaray,152201,38.37255,34.02537
RO,Sibiu,Sibiu,151894,45.8,24.15
TR,Kızıltepe,Kiziltepe,150174,37.18836,40.57723
FR,Dijon,Dijon,149782,47.31667,5.01667
GB,Burnley,Burnley,149422,53.8,-2.23333
IT,Cagliari,Cagliari,149257,39.23054,9.11917
SE,Uppsala,Uppsala,149245,59.85882,17.63889
UA,Kerch,Kerch,148932,45.3531,36.47429
ES,Huelva,Huelva,148806,37.26638,-6.94004
ES,Badajoz,Badajoz,148334,38.87789,-6.97061
GB,Dundee,Dundee,147710,56.46913,-2.97489
RU,Kolomna,Kolomna,147690,55.07944,38.77833
NO,Trondheim,Trondheim,147139,63.43049,10.39506
RO,Târgu-Mureş,Targu-Mures,146863,46.54245,24.55747
IT,Parma,Parma,146299,44.79935,10.32618
TR,Afyonkarahisar,Afyonkarahisar,146136,38.75667,30.54333
DK,Odense,Odense,145931,55.39594,10.38831
FR,Brest,Brest,144899,48.39029,-4.48628
GR,Lárisa,Larisa,144651,39.63689,22.41761
FR,Le Mans,Le Mans,144515,48.00039,0.20471
RU,Elektrostal’,Elektrostal',144387,55.78959,38.44671
RU,Maykop,Maykop,144055,44.60778,40.10583
BY,Barysaw,Barysaw,143919,54.2279,28.505
BG,Stara Zagora,Stara Zagora,143431,42.43278,25.64194
FR,Amiens,Amiens,143086,49.9,2.3
RU,Pyatigorsk,Pyatigorsk,142865,44.04861,43.05944
BA,Tuzla,Tuzla,142486,44.53842,18.66709
FR,Tours,Tours,141621,47.39484,0.70398
FR,Limoges,Limoges,141176,45.83153,1.25781
HR,Rijeka,Rijeka,141172,45.32673,14.44241
RU,Al’met’yevsk,Al'met'yevsk,140437,54.90442,52.3154
ES,Tarragona,Tarragona,140323,41.11667,1.25
GB,Brighton,Brighton,139001,50.82838,-0.13947
FR,Clermont-Ferrand,Clermont-Ferrand,138681,45.77966,3.08628
GR,Irákleion,Irakleion,137154,35.32787,25.14341
IT,Foggia,Foggia,137032,41.45845,15.55188
RO,Baia Mare,Baia Mare,136553,47.65729,23.56808
ES,Lleida,Lleida,135919,41.61674,0.62218
ES,León,Leon,134305,42.60003,-5.57032
DE,Würzburg,Wuerzburg,133731,49.79391,9.95121
RU,Pervoural’sk,Pervoural'sk,133600,56.90528,59.94361
GB,Hastings,Hastings,133422,50.85519,0.57292
AT,Innsbruck,Innsbruck,132493,47.26266,11.39454
RU,Dimitrovgrad,Dimitrovgrad,132226,54.21386,49.61838
RO,Buzău,Buzau,130954,45.15,26.83333
BY,Pinsk,Pinsk,130777,52.1229,26.0951
LT,Šiauliai,Siauliai,130587,55.93333,23.31667
UA,Nikopol,Nikopol,130500,47.57119,34.39637
UA,Syevyerodonets’k,Syevyerodonets'k,130000,48.94832,38.49166
TR,Tokat,Tokat,129702,40.31389,36.55444
DE,Regensburg,Regensburg,129151,49.01513,12.10161
RU,Kamyshin,Kamyshin,128626,50.09833,45.41601
FI,Oulu,Oulu,128618,65.01236,25.46816
FR,Besançon,Besancon,128426,47.24878,6.01815
HU,Győr,Gyor,128265,47.68333,17.63512
RU,Serpukhov,Serpukhov,128158,54.91578,37.41114
PL,Opole,Opole,127676,50.67211,17.92533
PL,Elbląg,Elblag,127558,54.1522,19.40884
PL,Płock,Plock,127474,52.54682,19.70638
PL,Wałbrzych,Walbrzych,127431,50.77141,16.28432
RU,Murom,Murom,126931,55.575,42.0426
RU,Khasavyurt,Khasavyurt,126829,43.2509,46.58766
RU,Neftekamsk,Neftekamsk,126805,56.092,54.2661
TR,Edirne,Edirne,126470,41.67719,26.55597
GB,Saint Peters,Saint Peters,125370,51.36667,1.41667
BY,Orsha,Orsha,125347,54.5081,30.4172
MD,Bălţi,Balti,125000,47.76314,27.92932
PL,Gorzów Wielkopolski,Gorzow Wielkopolski,124430,52.73679,15.22878
FR,Orléans,Orleans,124149,47.90289,1.90389
FR,Metz,Metz,123914,49.11911,6.17269
DK,Aalborg,Aalborg,122219,57.048,9.9187
CH,Bern,Bern,121631,46.94809,7.44744
NO,Stavanger,Stavanger,121610,58.97005,5.73332
DE,Ingolstadt,Ingolstadt,120658,48.76508,11.42372
DE,Ulm,Ulm,120451,48.39841,9.99155
TR,Karaman,Karaman,120399,37.18111,33.215
IT,Perugia,Perugia,120137,43.1122,12.38878
IS,Reykjavík,Reykjavik,118918,64.13548,-21.89541
BG,Pleven,Pleven,118675,43.41667,24.61667
IT,Rimini,Rimini,118673,44.05755,12.56528
PL,Zielona Góra,Zielona Gora,118433,51.93548,15.50643
UA,Berdyansk,Berdyansk,118284,46.76644,36.79872
UA,Uzhgorod,Uzhgorod,117878,48.61667,22.3
PL,Tarnów,Tarnow,117799,50.01381,20.98698
GB,Exeter,Exeter,117763,50.7236,-3.52751
SE,Västerås,Vaesteras,117746,59.61617,16.55276
DE,Bremerhaven,Bremerhaven,117446,53.55021,8.57673
LT,Panevėžys,Panevezys,117395,55.73333,24.35
TR,Ordu,Ordu,116788,40.97782,37.89047
CH,Lausanne,Lausanne,116751,46.516,6.63282
BE,Brugge,Brugge,116709,51.20892,3.22424
IT,Pescara,Pescara,116596,42.4584,14.20283
ES,Jaén,Jaen,116557,37.76922,-3.79028
RU,Cherkessk,Cherkessk,116224,44.22333,42.05778
ES,Algeciras,Algeciras,116209,36.13326,-5.45051
UA,Pavlohrad,Pavlohrad,115932,48.53426,35.87098
SE,Örebro,OErebro,115765,59.27412,15.2066
RU,Yelets,Yelets,115688,52.62366,38.50169
GB,Lincoln,Lincoln,114879,53.22683,-0.53792
RO,Botoşani,Botosani,114783,47.75,26.66667
TR,Siirt,Siirt,114034,37.9293,41.94134
TR,Erzincan,Erzincan,114027,39.73919,39.49015
TR,Alanya,Alanya,112969,36.54375,31.99982
FR,Rouen,Rouen,112787,49.44313,1.09932
RO,Satu Mare,Satu Mare,112490,47.79926,22.86255
BY,Mazyr,Mazyr,112137,52.0495,29.2456
NL,Zwolle,Zwolle,111805,52.5125,6.09444
LV,Daugavpils,Daugavpils,111564,55.88333,26.53333
FR,Perpignan,Perpignan,110706,42.69764,2.89541
HU,Kecskemét,Kecskemet,109847,46.90618,19.69128
RU,Arzamas,Arzamas,109479,55.39485,43.83992
RU,Sergiyev Posad,Sergiyev Posad,109252,56.3,38.13333
PL,Kalisz,Kalisz,108759,51.76109,18.09102
RU,Oktyabr’skiy,Oktyabr'skiy,108200,54.48147,53.47103
ES,Ourense,Ourense,107742,42.33669,-7.86407
TR,Bandırma,Bandirma,107631,40.35222,27.97667
PL,Koszalin,Koszalin,107450,54.19438,16.17222
RU,Obninsk,Obninsk,107392,55.09681,36.61006
DE,Koblenz,Koblenz,107319,50.35357,7.57883
DE,Siegen,Siegen,107242,50.87481,8.02431
RU,Elista,Elista,106971,46.30778,44.25583
PT,Coimbra,Coimbra,106582,40.20564,-8.41955
SE,Linköping,Linkoeping,106502,58.41086,15.62157
BE,Namur,Namur,106284,50.4669,4.86746
